text,domain,intent,split
will i have enough to get a new roku with my savings account,1,12,val
set timer for 5 minutes,7,96,train
"where is the closest walmart to boise, idaho",5,71,train
do they take reservations at mendy's,3,45,train
tell me about my insurance benefits,8,109,train
i need to know this song,4,46,test
let me talk to you in greek,10,142,train
"please increase my credit limit to $9,000",2,22,train
how many ounces in a gallon,7,100,train
what are the best restaurants,3,41,train
does applebees have alright reviews,3,38,train
can you text walt and tell him to meet me at the car wash,7,105,test
what are the steps to get my rewards for my visa card,2,24,test
i need help paying my electric bill,1,5,train
do you know my credit card's apr,2,23,train
can you tell me my name,10,137,train
how many hours of pto have i used,8,120,test
i have misplaced my phone,7,94,train
can you speak to me in french,10,142,train
get an uber for 4 passengers to get us to the phl airport,5,64,train
how is my name saved,10,137,val
"on my wells fargo mastercard, what is the current apr",2,23,train
"can i get my credit limit increased to $15,000",2,22,train
how do i roll over my 401k,8,114,test
"would you repeat that, please",10,143,train
what are reviews for ihop like,3,38,train
i need the cooking length for a turkey,3,44,train
do i need an international visa to go to brazil,6,80,train
do you have any jokes,9,132,train
remind me of the last date that i got my car checked,5,72,test
what bills is congress talking about passing or blocking today,0,0,oos_test
is there a way to get my pin number,1,3,train
at what time will my flight land,6,79,train
i want to report fraudulent activity on my quicksilver card,1,15,val
is there a travel alert for russia,6,84,train
make a 10 minute timer,7,96,test
how much have i spent on shoes,1,13,train
what do i do for new insurance,8,108,train
i want your accent changed to the male british one,10,144,train
can you tell me where you were born,9,128,train
i would love to know when my flight is going to land,6,79,train
tell me the meaning of alternative,7,99,train
do i need to get a visa for russia,6,80,train
i want to change my pin number for my checking account,1,3,train
how many personal days have i taken this month,8,120,train
is this a computer right now or a human being,9,133,train
"you can remove the field trip from my calendar for march 12, 2019",4,51,val
how long should this be in the oven,3,44,train
what name should i use when i call you,9,127,train
minimum to pay on power bill,1,8,train
do i need to fill my tires,5,66,train
you came from where,9,128,train
make sure to add to my calendar the staff meeting for march 1 at 10 am,4,51,train
what is a fun fact about mt everest,9,126,train
i need to know how much gas is left,5,68,train
how many years have you been on,9,134,train
was there any progress on my vacation request,8,106,test
that is most definitely false,10,141,test
what stuff do you dump in an omelette,3,34,train
i would like to request a pto on february 7 and 8,8,116,train
i need a hotel in austin near south congress from 3/5 until 3/10,6,88,train
does england require socket converters,6,76,train
tell me about your hobbies,9,125,val
i can't find my mastercard and i want to report it as lost,2,20,train
add change filters to my to do list,4,48,train
thats a negative,10,141,val
i need the data and price from my state taxes,8,112,test
if im traveling to the hospital around noon what is the traffic typically like,5,65,train
how many people are jobless in america,0,0,oos_test
please raise the volume to 4,10,140,train
when should i pay my bill by,1,4,train
how soon until the next holiday,8,107,train
which date is my next paycheck due,8,111,train
when should i get my oil changed,5,62,test
call my name,10,137,test
i want to know if you have hobbies,9,125,train
i'd like to start calling you lover,10,148,test
what is the recommended interval to get my oil changed,5,62,test
what's my vacation day total,8,115,train
give me celcius to fahrenheit,7,100,val
how long is the shipping for my replacement card,2,16,train
"i lost my luggage, what now",6,86,train
what benefits are associated with my insurance,8,109,train
what do i need to do to get that tax form thing from my job,8,117,test
make a reminder to work out at the gym,4,50,train
what are the weather conditions in seattle,7,91,train
please switch to whisper,10,138,train
i need to schedule car maintenance,5,67,train
how do i switch out my oil,5,63,train
how much state taxes do i owe,8,112,train
program my new robot to bring me snacks,0,0,oos_test
do i have any meetings with dave today,8,110,train
how do i create a meeting,8,118,train
"no, that is fake",10,141,val
could be there be a good amount of money in my checking account to go on a vacation,1,12,val
when will my payment be deposited,8,111,test
was my day off request approved,8,106,train
how much of my pto is gone,8,120,test
please help me report my lost card,2,20,test
check to see if i still have allergy medication,0,0,oos_test
how do i direct deposit my check,8,119,train
when will i need another oil change,5,62,train
where in syracuse can i book a car,6,90,test
what is the lowest amount i can pay for my car bill,1,8,test
why types of animals do you currently have as pets,9,124,train
help me figure out getting new insurance,8,108,train
i'm out of all my checks can i get some new ones,1,11,test
i'd rather have you call be ray ray,10,147,train
how do you make chicken noodle casserole,3,34,train
what time is it in the eastern standard timezone,7,103,train
i want to know when i was last paid,8,111,train
"how are you doing, ai",9,131,train
how good are the ratings for the olive garden,3,38,train
can you check washing the dishes off on my to do list,4,48,train
when was my car last in the shop,5,72,test
did i stick to my dinner budget,1,13,test
how much is 1 share of aapl,0,0,oos_train
how much interest is my nfcu accrueing,1,7,test
in 15 minutes the timer should go off,7,96,test
what is the meaning of altruism,7,99,train
"i have credit card points, how do i redeem them",2,24,val
what is my average mpg in this car,5,69,train
how can i set up direct deposits from my job to my bank,8,119,train
i need you to flip a coin so i can make a choice,7,101,train
find a couple's therapist who can help me and my wife,0,0,oos_test
can i substitute eggs for milk in a recipe,3,43,train
i need to to the female voice,10,144,train
i want you to talk more quickly,10,136,train
change this song please,4,56,test
what's the timezone for san diego,6,81,train
please roll a 10 sided die and tell me what number it is,7,104,val
how much interest do i get on my citizen's savings account,1,7,val
any update on my vacation,8,106,test
how can i go about jump starting my car,5,75,test
would you understand me if i speak to you in navajo,10,142,test
can you tell me what time it is in dallas,7,103,test
when is my car due for an oil change,5,62,train
can you roll a die for me,7,104,test
tell me about the reviews for olive garden,3,38,train
can i increase the credit limit for my wells fargo credit card,2,22,train
what time does the louvre open,0,0,oos_train
